"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"C","0015.csv","133","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","134","","","","","","","","","","","","TRUE"
"C","0015.csv","1002","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1003","","","","","","","","","","","","TRUE"
"C","0015.csv","1224","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1225","","","","","","","","","","","","TRUE"
"C","0015.csv","1227","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1228","","","","","","","","","","","","TRUE"
"C","0015.csv","1246","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1247","","","","","","","","","","","","TRUE"
"C","0015.csv","1391","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1392","","","","","","","","","","","","TRUE"
"C","0015.csv","1502","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1503","","","","","","","","","","","","TRUE"
"C","0015.csv","1520","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1521","","","","","","","","","","","","TRUE"
"C","0015.csv","1579","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1580","","","","","","","","","","","","TRUE"
"C","0015.csv","1774","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1775","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1776","","","","","","","","","","","","TRUE"
"C","0015.csv","1789","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1790","","","","","","","","","","","","TRUE"
"C","0015.csv","1807","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","","TRUE"
"C","0015.csv","1808","","","","","","","","","","","","TRUE"
"C","0015.csv","1880","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1881","","","","","","","","","","","","TRUE"
"C","0015.csv","1891","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1892","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1893","","","","","","","","","","","","TRUE"
"C","0015.csv","1895","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1896","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1897","","","","","","","","","","","","TRUE"
"C","0015.csv","1904","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1905","","","","","","","","","","","","TRUE"
"C","0015.csv","1975","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1976","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","1977","","","","","","","","","","","","TRUE"
"C","0015.csv","2024","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2025","","","","","","","","","","","","TRUE"
"C","0015.csv","2026","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2027","","","","","","","","","","","","TRUE"
"C","0015.csv","2048","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2049","","","","","","","","","","","","TRUE"
"C","0015.csv","2050","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2051","","","","","","","","","","","","TRUE"
"C","0015.csv","2068","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2069","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2070","","","","","","","","","","","","TRUE"
"C","0015.csv","2072","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2073","","","","","","","","","","","","TRUE"
"C","0015.csv","2075","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2076","","","","","","","","","","","","TRUE"
"C","0015.csv","2077","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2078","","","","","","","","","","","","TRUE"
"C","0015.csv","2079","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2080","","","","","","","","","","","","TRUE"
"C","0015.csv","2082","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2083","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2084","","","","","","","","","","","","TRUE"
"C","0015.csv","2085","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2086","","","","","","","","","","","","TRUE"
"C","0015.csv","2087","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2088","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2089","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2090","","","","","","","","","","","","TRUE"
"C","0015.csv","2093","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2094","","","","","","","","","","","","TRUE"
"C","0015.csv","2096","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"C","0015.csv","2097","","","","","","","","","","","","TRUE"
"C","0015.csv","2107","","","","","","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
